episode,n_steps,duration_s,team_total_reward,team_reward_per_step,agent_0_total,agent_1_total
410,500,0.0,1.975,0.00395,0.775,1.2
411,500,0.0,4.75,0.0095,2.525,2.225
412,500,0.0,-1.125,-0.00225,-1.875,0.75
413,500,0.0,5.575,0.01115,2.625,2.95
414,500,0.0,1.775,0.00355,0.8,0.975
415,500,0.0,-0.925,-0.00185,-0.675,-0.25
416,500,0.0,0.2,0.0004,2.1,-1.9
417,500,0.0,-0.5,-0.001,-0.225,-0.275
418,500,0.0,0.925,0.00185,-1.65,2.575
419,500,0.0,-1.025,-0.00205,-0.675,-0.35
420,500,0.0,4.5,0.009,3.15,1.35
421,500,0.0,-3.4,-0.0068,-1.675,-1.725
422,500,0.0,3.55,0.0071,1.1,2.45
423,500,0.0,1.05,0.0021,0.875,0.175
424,500,0.0,5.8,0.0116,2.5,3.3
425,500,0.0,4.4,0.0088,2.0,2.4
426,500,0.0,-0.275,-0.00055,1.975,-2.25
427,500,0.0,5.175,0.01035,2.7,2.475
428,500,0.0,0.825,0.00165,-1.85,2.675
429,500,0.0,0.2,0.0004,-0.25,0.45
430,500,0.0,5.525,0.01105,2.725,2.8
431,500,0.0,4.625,0.00925,2.1,2.525
432,500,0.0,4.225,0.00845,2.6,1.625
433,500,0.0,4.125,0.00825,1.525,2.6
434,500,0.0,4.1,0.0082,2.45,1.65
435,500,0.0,5.275,0.01055,2.75,2.525
436,500,0.0,1.425,0.00285,0.825,0.6
437,500,0.0,-4.125,-0.00825,-1.9,-2.225
438,500,0.0,4.575,0.00915,1.75,2.825
439,500,0.0,4.325,0.00865,2.275,2.05
440,500,0.0,0.0,0.0,1.025,-1.025
441,500,0.0,3.25,0.0065,2.775,0.475
442,500,0.0,-2.125,-0.00425,-1.0,-1.125
443,500,0.0,-2.45,-0.0049,-2.1,-0.35
444,500,0.0,0.475,0.00095,0.525,-0.05
445,500,0.0,3.725,0.00745,1.075,2.65
446,500,0.0,-2.225,-0.00445,-0.425,-1.8
447,500,0.0,-4.425,-0.00885,-1.75,-2.675
448,500,0.0,2.025,0.00405,0.825,1.2
449,500,0.0,-1.45,-0.0029,-0.725,-0.725
450,500,0.0,1.0,0.002,2.075,-1.075
451,500,0.0,0.35,0.0007,2.0,-1.65
452,500,0.0,2.975,0.00595,0.425,2.55
453,500,0.0,4.475,0.00895,1.825,2.65
454,500,0.0,2.9,0.0058,1.65,1.25
455,500,0.0,4.375,0.00875,1.4,2.975
456,500,0.0,4.625,0.00925,2.375,2.25
457,500,0.0,5.525,0.01105,2.975,2.55
458,500,0.0,-5.825,-0.01165,1.975,-7.8
459,500,0.0,3.85,0.0077,1.85,2.0
460,500,0.0,2.45,0.0049,2.975,-0.525
461,500,0.0,0.675,0.00135,0.3,0.375
462,500,0.0,4.9,0.0098,2.35,2.55
463,500,0.0,0.425,0.00085,-1.5,1.925
464,500,0.0,1.125,0.00225,-1.65,2.775
465,500,0.0,5.2,0.0104,2.925,2.275
466,500,0.0,5.15,0.0103,2.5,2.65
467,500,0.0,4.15,0.0083,2.1,2.05
468,500,0.0,5.5,0.011,2.675,2.825
469,500,0.0,5.825,0.01165,2.825,3.0
470,500,0.0,2.475,0.00495,-0.225,2.7
471,500,0.0,2.9,0.0058,2.875,0.025
472,500,0.0,3.75,0.0075,1.0,2.75
473,500,0.0,4.275,0.00855,2.325,1.95
474,500,0.0,1.975,0.00395,0.025,1.95
475,500,0.0,-0.4,-0.0008,1.7,-2.1
476,500,0.0,5.25,0.0105,2.3,2.95
477,500,0.0,-6.5,-0.013,-4.125,-2.375
478,500,0.0,-1.575,-0.00315,-0.325,-1.25
479,500,0.0,-0.75,-0.0015,-0.6,-0.15
480,500,0.0,-5.775,-0.01155,-4.65,-1.125
481,500,0.0,-0.625,-0.00125,-0.075,-0.55
482,500,0.0,5.4,0.0108,2.975,2.425
483,500,0.0,2.225,0.00445,1.05,1.175
484,500,0.0,3.85,0.0077,1.875,1.975
485,500,0.0,0.275,0.00055,-2.25,2.525
486,500,0.0,4.675,0.00935,2.3,2.375
487,500,0.0,0.975,0.00195,-1.35,2.325
488,500,0.0,-0.975,-0.00195,-2.05,1.075
489,500,0.0,6.15,0.0123,2.95,3.2
490,500,0.0,5.15,0.0103,2.15,3.0
491,500,0.0,7.2,0.0144,4.775,2.425
492,500,0.0,-6.7,-0.0134,-2.95,-3.75
493,500,0.0,5.025,0.01005,2.425,2.6
494,500,0.0,5.575,0.01115,2.5,3.075
495,500,0.0,5.525,0.01105,2.95,2.575
496,500,0.0,4.875,0.00975,2.875,2.0
497,500,0.0,4.15,0.0083,1.775,2.375
498,500,0.0,3.875,0.00775,2.3,1.575
499,500,0.0,4.225,0.00845,1.875,2.35
500,500,0.0,0.7,0.0014,2.725,-2.025
501,500,0.0,4.375,0.00875,2.375,2.0
502,500,0.0,5.675,0.01135,2.9,2.775
503,500,0.0,5.725,0.01145,2.975,2.75
504,500,0.0,5.375,0.01075,2.575,2.8
505,500,0.0,2.85,0.0057,2.175,0.675
506,500,0.0,5.2,0.0104,2.775,2.425
507,500,0.0,1.7,0.0034,-1.425,3.125
508,500,0.0,-0.725,-0.00145,-0.625,-0.1
509,500,0.0,-2.325,-0.00465,-4.85,2.525
510,500,0.0,5.075,0.01015,2.4,2.675
511,500,0.0,2.95,0.0059,1.15,1.8
512,500,0.0,5.45,0.0109,2.9,2.55
513,500,0.0,1.425,0.00285,2.85,-1.425
514,500,0.0,0.65,0.0013,2.15,-1.5
515,500,0.0,-8.075,-0.01615,-7.95,-0.125
516,500,0.0,2.35,0.0047,0.6,1.75
517,500,0.0,-3.275,-0.00655,-1.55,-1.725
518,500,0.0,-0.25,-0.0005,2.0,-2.25
519,500,0.0,2.975,0.00595,1.575,1.4
520,500,0.0,-2.475,-0.00495,-1.25,-1.225
521,500,0.0,4.875,0.00975,2.65,2.225
522,500,0.0,4.6,0.0092,1.975,2.625
523,500,0.0,-0.675,-0.00135,2.5,-3.175
524,500,0.0,4.65,0.0093,2.425,2.225
525,500,0.0,0.2,0.0004,0.125,0.075
526,500,0.0,3.2,0.0064,0.275,2.925
527,500,0.0,0.575,0.00115,-0.725,1.3
528,500,0.0,5.725,0.01145,2.725,3.0
529,500,0.0,-1.075,-0.00215,-2.8,1.725
530,500,0.0,5.375,0.01075,2.2,3.175
531,500,0.0,1.15,0.0023,-1.575,2.725
532,500,0.0,4.625,0.00925,2.525,2.1
533,500,0.0,5.4,0.0108,2.775,2.625
534,500,0.0,-5.6,-0.0112,-2.9,-2.7
535,500,0.0,0.825,0.00165,0.575,0.25
536,500,0.0,0.525,0.00105,0.025,0.5
537,500,0.0,-0.075,-0.00015,0.45,-0.525
538,500,0.0,4.45,0.0089,2.275,2.175
539,500,0.0,3.9,0.0078,1.825,2.075
540,500,0.0,6.2,0.0124,3.05,3.15
541,500,0.0,0.825,0.00165,-2.025,2.85
542,500,0.0,4.85,0.0097,2.225,2.625
543,500,0.0,-1.275,-0.00255,0.225,-1.5
544,500,0.0,4.325,0.00865,2.35,1.975
545,500,0.0,5.625,0.01125,2.925,2.7
546,500,0.0,5.55,0.0111,2.65,2.9
547,500,0.0,0.575,0.00115,2.1,-1.525
548,500,0.0,1.05,0.0021,-1.725,2.775
549,500,0.0,0.625,0.00125,-1.075,1.7
550,500,0.0,3.075,0.00615,1.475,1.6
551,500,0.0,3.375,0.00675,2.6,0.775
552,500,0.0,-6.025,-0.01205,-3.125,-2.9
553,500,0.0,1.0,0.002,-2.075,3.075
554,500,0.0,5.025,0.01005,2.075,2.95
555,500,0.0,4.175,0.00835,2.0,2.175
556,500,0.0,1.65,0.0033,-1.175,2.825
557,500,0.0,5.675,0.01135,2.725,2.95
558,500,0.0,0.25,0.0005,2.5,-2.25
559,500,0.0,5.0,0.01,2.25,2.75
560,500,0.0,1.275,0.00255,2.95,-1.675
561,500,0.0,0.825,0.00165,-1.925,2.75
562,500,0.0,1.775,0.00355,-0.925,2.7
563,500,0.0,4.8,0.0096,2.5,2.3
564,500,0.0,2.6,0.0052,2.325,0.275
565,500,0.0,-0.775,-0.00155,-2.7,1.925
566,500,0.0,4.625,0.00925,2.4,2.225
567,500,0.0,1.075,0.00215,2.725,-1.65
568,500,0.0,3.675,0.00735,2.65,1.025
569,500,0.0,0.675,0.00135,1.1,-0.425
570,500,0.0,4.3,0.0086,2.1,2.2
571,500,0.0,5.85,0.0117,2.85,3.0
572,500,0.0,4.025,0.00805,1.85,2.175
573,500,0.0,-0.575,-0.00115,2.35,-2.925
574,500,0.0,-0.075,-0.00015,-2.275,2.2
575,500,0.0,1.975,0.00395,2.425,-0.45
576,500,0.0,2.225,0.00445,2.25,-0.025
577,500,0.0,5.05,0.0101,2.3,2.75
578,500,0.0,0.375,0.00075,-2.1,2.475
579,500,0.0,4.275,0.00855,2.125,2.15
580,500,0.0,5.15,0.0103,2.35,2.8
581,500,0.0,0.125,0.00025,1.875,-1.75
582,500,0.0,5.4,0.0108,2.4,3.0
583,500,0.0,5.575,0.01115,2.85,2.725
584,500,0.0,0.25,0.0005,-2.75,3.0
585,500,0.0,0.725,0.00145,-1.975,2.7
586,500,0.0,5.525,0.01105,2.85,2.675
587,500,0.0,3.85,0.0077,1.975,1.875
588,500,0.0,1.1,0.0022,1.5,-0.4
589,500,0.0,0.275,0.00055,-1.5,1.775
590,500,0.0,5.2,0.0104,2.825,2.375
591,500,0.0,0.825,0.00165,2.45,-1.625
592,500,0.0,0.925,0.00185,2.25,-1.325
593,500,0.0,3.125,0.00625,1.175,1.95
594,500,0.0,1.475,0.00295,2.775,-1.3
595,500,0.0,-6.0,-0.012,-5.15,-0.85
596,500,0.0,-0.125,-0.00025,1.825,-1.95
597,500,0.0,-2.05,-0.0041,-2.3,0.25
598,500,0.0,1.175,0.00235,0.675,0.5
599,500,0.0,0.85,0.0017,2.25,-1.4
600,500,0.0,6.125,0.01225,3.225,2.9
601,500,0.0,-2.3,-0.0046,-1.05,-1.25
602,500,0.0,4.925,0.00985,2.6,2.325
603,500,0.0,6.275,0.01255,3.025,3.25
604,500,0.0,0.6,0.0012,2.325,-1.725
605,500,0.0,5.85,0.0117,2.825,3.025
606,500,0.0,4.225,0.00845,2.8,1.425
607,500,0.0,0.625,0.00125,-1.975,2.6
608,500,0.0,1.575,0.00315,-1.05,2.625
609,500,0.0,4.325,0.00865,1.95,2.375
610,500,0.0,6.1,0.0122,2.925,3.175
611,500,0.0,0.575,0.00115,1.975,-1.4
612,500,0.0,2.15,0.0043,2.9,-0.75
613,500,0.0,5.575,0.01115,2.975,2.6
614,500,0.0,5.725,0.01145,3.075,2.65
615,500,0.0,6.225,0.01245,3.1,3.125
616,500,0.0,4.8,0.0096,2.55,2.25
617,500,0.0,4.825,0.00965,2.125,2.7
618,500,0.0,4.9,0.0098,2.625,2.275
619,500,0.0,4.775,0.00955,2.725,2.05
620,500,0.0,-2.4,-0.0048,-1.875,-0.525
621,500,0.0,-3.125,-0.00625,-1.425,-1.7
622,500,0.0,-1.675,-0.00335,-0.375,-1.3
623,500,0.0,1.35,0.0027,2.85,-1.5
624,500,0.0,5.425,0.01085,2.525,2.9
625,500,0.0,4.075,0.00815,1.375,2.7
626,500,0.0,1.1,0.0022,-1.85,2.95
627,500,0.0,-7.6,-0.0152,-3.45,-4.15
628,500,0.0,3.9,0.0078,1.9,2.0
629,500,0.0,2.75,0.0055,1.075,1.675
630,500,0.0,-0.475,-0.00095,-1.8,1.325
