episode,n_steps,duration_s,team_total_reward,team_reward_per_step,agent_0_total,agent_1_total,agent_2_total,agent_3_total
1089,500,0.0,13.0,0.026,0.5,2.0,3.5,7.0
1090,500,0.0,10.0,0.02,1.5,2.0,5.0,1.5
1091,500,0.0,19.0,0.038,5.0,6.5,6.0,1.5
1092,500,0.0,14.5,0.029,3.0,7.0,4.0,0.5
1093,500,0.0,13.5,0.027,3.0,2.0,3.0,5.5
1094,500,0.0,13.0,0.026,2.5,7.0,1.0,2.5
1095,500,0.0,8.5,0.017,2.0,2.0,2.0,2.5
1096,500,0.0,12.5,0.025,2.0,2.5,3.0,5.0
1097,500,0.0,11.5,0.023,2.5,5.5,2.0,1.5
1098,500,0.0,10.5,0.021,1.5,2.0,5.0,2.0
1099,500,0.0,9.5,0.019,2.0,5.0,0.5,2.0
1100,500,0.0,8.0,0.016,2.0,2.0,1.5,2.5
1101,500,0.0,11.0,0.022,5.5,3.5,0.5,1.5
1102,500,0.0,7.5,0.015,0.5,3.5,1.5,2.0
1103,500,0.0,8.5,0.017,2.0,4.5,1.0,1.0
1104,500,0.0,4.5,0.009,3.0,0.5,0.5,0.5
1105,500,0.0,9.5,0.019,4.0,3.0,2.0,0.5
1106,500,0.0,15.5,0.031,4.5,3.0,7.0,1.0
1107,500,0.0,10.0,0.02,3.0,2.5,2.5,2.0
1108,500,0.0,9.5,0.019,2.0,2.5,3.0,2.0
1109,500,0.0,12.5,0.025,0.5,5.5,1.5,5.0
1110,500,0.0,13.5,0.027,3.0,2.5,5.5,2.5
1111,500,0.0,8.5,0.017,4.5,1.0,1.5,1.5
1112,500,0.0,17.5,0.035,5.0,2.0,5.5,5.0
1113,500,0.0,14.5,0.029,3.0,1.0,7.5,3.0
1114,500,0.0,18.0,0.036,7.5,1.5,6.5,2.5
1115,500,0.0,6.5,0.013,1.0,1.5,0.5,3.5
1116,500,0.0,9.5,0.019,0.5,5.0,3.0,1.0
1117,500,0.0,16.5,0.033,3.0,2.0,4.0,7.5
1118,500,0.0,10.0,0.02,0.5,0.5,5.5,3.5
1119,500,0.0,8.5,0.017,3.0,1.5,2.5,1.5
1120,500,0.0,7.5,0.015,0.5,1.0,4.5,1.5
1121,500,0.0,9.0,0.018,5.5,1.0,0.5,2.0
1122,500,0.0,19.0,0.038,4.0,6.0,5.0,4.0
1123,500,0.0,8.5,0.017,5.5,2.0,0.5,0.5
1124,500,0.0,4.0,0.008,0.5,1.0,2.0,0.5
1125,500,0.0,7.5,0.015,2.5,3.0,1.5,0.5
1126,500,0.0,8.0,0.016,0.5,2.5,4.0,1.0
