episode,n_steps,duration_s,team_total_reward,team_reward_per_step,agent_0_total,agent_1_total,agent_2_total,agent_3_total
417,500,0.0,-6.16,-0.01232,-1.005,-0.685,-1.07,-3.4
418,500,0.0,-3.14,-0.00628,-0.685,-0.63,-1.14,-0.685
419,500,0.0,-0.8,-0.0016,-0.545,-2.01,-0.565,2.32
420,500,0.0,-2.58,-0.00516,-0.62,-0.66,-0.62,-0.68
421,500,0.0,-5.335,-0.01067,-2.525,-1.045,-1.095,-0.67
422,500,0.0,-2.73,-0.00546,-0.62,-0.85,-0.615,-0.645
423,500,0.0,-2.98,-0.00596,-1.1,-0.715,-0.57,-0.595
424,500,0.0,-3.77,-0.00754,-1.21,-0.705,-1.21,-0.645
425,500,0.0,-2.9,-0.0058,-0.67,-0.81,-0.815,-0.605
426,500,0.0,-8.02,-0.01604,-0.525,-0.53,-0.555,-6.41
427,500,0.0,-3.33,-0.00666,-0.59,-1.605,-0.565,-0.57
428,500,0.0,-3.73,-0.00746,-1.74,-0.61,-0.725,-0.655
429,500,0.0,-1.455,-0.00291,-1.92,-0.52,1.855,-0.87
430,500,0.0,-2.865,-0.00573,-3.33,2.595,-1.525,-0.605
431,500,0.0,-4.29,-0.00858,-0.67,-0.625,-2.1,-0.895
432,500,0.0,-8.15,-0.0163,-0.725,-0.57,-4.985,-1.87
433,500,0.0,-5.64,-0.01128,-1.22,-3.095,-0.665,-0.66
434,500,0.0,-1.765,-0.00353,-0.65,-0.78,1.585,-1.92
435,500,0.0,-3.755,-0.00751,-0.64,-1.745,-0.65,-0.72
436,500,0.0,-2.83,-0.00566,-0.875,-0.71,-0.62,-0.625
437,500,0.0,-3.775,-0.00755,-0.585,-1.2,-1.085,-0.905
438,500,0.0,-1.3,-0.0026,-1.6,2.58,-0.54,-1.74
439,500,0.0,-3.415,-0.00683,-0.565,-0.575,-0.655,-1.62
440,500,0.0,0.085,0.00017,-0.54,-0.935,2.23,-0.67
441,500,0.0,-2.405,-0.00481,-0.74,-0.56,-0.395,-0.71
442,500,0.0,-5.99,-0.01198,-1.35,-0.665,-3.27,-0.705
443,500,0.0,-4.545,-0.00909,-1.1,-1.485,-0.705,-1.255
444,500,0.0,-3.205,-0.00641,-1.175,-0.805,-0.575,-0.65
445,500,0.0,-0.905,-0.00181,-0.785,2.195,-0.675,-1.64
446,500,0.0,-2.68,-0.00536,-0.565,-0.94,-0.605,-0.57
447,500,0.0,-5.145,-0.01029,-1.255,-1.82,-1.375,-0.695
448,500,0.0,-2.395,-0.00479,-0.59,-0.67,-0.47,-0.665
449,500,0.0,-9.055,-0.01811,-0.37,-5.195,-0.605,-2.885
450,500,0.0,-2.345,-0.00469,-0.75,-0.595,-0.525,-0.475
451,500,0.0,-2.275,-0.00455,-1.535,1.24,-1.395,-0.585
452,500,0.0,-2.6,-0.0052,-0.435,-0.49,-0.52,-1.155
453,500,0.0,-8.58,-0.01716,-0.52,-1.005,-3.63,-3.425
454,500,0.0,-4.22,-0.00844,-0.8,-0.575,-1.405,-1.44
455,500,0.0,-2.56,-0.00512,-0.55,-0.615,-0.7,-0.695
456,500,0.0,-6.655,-0.01331,-1.325,-1.775,-0.86,-2.695
457,500,0.0,-2.67,-0.00534,-0.74,-0.685,-0.61,-0.635
458,500,0.0,-4.335,-0.00867,-0.73,-1.065,-0.735,-1.805
459,500,0.0,-3.925,-0.00785,-0.8,-1.37,-0.545,-1.21
460,500,0.0,-5.265,-0.01053,-1.295,-1.84,-0.815,-1.315
461,500,0.0,-4.005,-0.00801,-0.71,-0.46,-1.09,-1.745
462,500,0.0,-3.375,-0.00675,-1.665,-0.585,-0.525,-0.6
463,500,0.0,-2.31,-0.00462,-0.615,-0.555,-0.535,-0.605
464,500,0.0,-2.63,-0.00526,-0.7,-0.615,-0.67,-0.645
465,500,0.0,-4.095,-0.00819,-0.71,-2.13,-0.665,-0.59
466,500,0.0,-2.96,-0.00592,-0.6,-1.13,-0.63,-0.6
467,500,0.0,-2.43,-0.00486,-0.58,-0.53,-0.62,-0.7
468,500,0.0,-3.105,-0.00621,-0.73,-0.56,-0.765,-1.05
469,500,0.0,-3.015,-0.00603,-0.825,-0.515,-1.03,-0.645
470,500,0.0,-5.47,-0.01094,-1.465,-1.57,-0.73,-1.705
471,500,0.0,-4.13,-0.00826,-0.67,-0.59,-2.255,-0.615
472,500,0.0,-8.43,-0.01686,-5.015,-1.805,-1.09,-0.52
473,500,0.0,-3.48,-0.00696,-1.14,-0.75,-1.085,-0.505
474,500,0.0,-3.405,-0.00681,-1.06,-0.605,-0.595,-1.145
475,500,0.0,-2.855,-0.00571,-0.635,-0.53,-1.195,-0.495
476,500,0.0,-9.075,-0.01815,-1.765,-3.99,-1.115,-2.205
477,500,0.0,-3.25,-0.0065,-0.405,-0.665,-0.46,-1.72
478,500,0.0,-6.28,-0.01256,-1.945,-1.49,-1.15,-1.695
479,500,0.0,-4.475,-0.00895,-0.595,-1.925,-0.535,-1.42
480,500,0.0,-0.13,-0.00026,2.015,-0.97,-0.64,-0.535
481,500,0.0,-5.665,-0.01133,-0.71,-1.725,-1.875,-1.355
482,500,0.0,-4.005,-0.00801,-0.605,-0.48,-0.975,-1.945
483,500,0.0,-2.735,-0.00547,-0.475,-0.7,-0.615,-0.945
484,500,0.0,-3.195,-0.00639,-0.69,-0.665,-1.27,-0.57
485,500,0.0,-2.675,-0.00535,-0.585,-0.6,-0.555,-0.935
486,500,0.0,-3.885,-0.00777,-0.495,-1.345,-0.49,-1.555
487,500,0.0,-5.77,-0.01154,-1.305,-2.47,-1.315,-0.68
488,500,0.0,2.045,0.00409,1.715,1.74,-0.49,-0.92
489,500,0.0,0.33,0.00066,-0.66,-0.56,-0.585,2.135
490,500,0.0,-2.56,-0.00512,-0.695,-0.69,-0.57,-0.605
491,500,0.0,-4.06,-0.00812,-1.545,-0.54,-0.48,-1.495
492,500,0.0,-3.405,-0.00681,-1.145,-0.58,-0.55,-1.13
493,500,0.0,-3.165,-0.00633,-0.67,-0.73,-0.59,-1.175
494,500,0.0,-3.395,-0.00679,-0.62,-0.59,-1.425,-0.76
495,500,0.0,-1.87,-0.00374,-0.555,-0.395,-0.425,-0.495
496,500,0.0,-4.98,-0.00996,-2.085,-0.55,-0.8,-1.545
497,500,0.0,-3.05,-0.0061,-0.65,-1.125,-0.675,-0.6
498,500,0.0,-6.56,-0.01312,-0.525,-0.87,-3.42,-1.745
499,500,0.0,-2.785,-0.00557,-0.675,-0.525,-0.99,-0.595
500,500,0.0,-2.745,-0.00549,-0.68,-0.645,-0.665,-0.755
501,500,0.0,0.055,0.00011,-0.59,-0.53,1.815,-0.64
502,500,0.0,-6.61,-0.01322,-1.355,-2.245,-1.45,-1.56
503,500,0.0,0.62,0.00124,2.125,-0.56,-0.5,-0.445
504,500,0.0,-3.39,-0.00678,-0.965,-0.695,-0.97,-0.76
505,500,0.0,-3.645,-0.00729,-0.715,-0.815,-1.01,-1.105
506,500,0.0,-2.795,-0.00559,-1.035,-0.575,-0.71,-0.475
507,500,0.0,-5.95,-0.0119,-1.39,-2.83,-0.495,-1.235
508,500,0.0,-5.915,-0.01183,-1.285,-1.23,-1.615,-1.785
509,500,0.0,-4.445,-0.00889,-2.44,-0.68,-0.63,-0.695
510,500,0.0,-7.825,-0.01565,-0.68,-0.72,-5.67,-0.755
511,500,0.0,-11.395,-0.02279,-0.58,-3.15,-0.545,-7.12
512,500,0.0,-5.405,-0.01081,-3.445,-0.535,-0.725,-0.7
513,500,0.0,-11.31,-0.02262,-3.85,-1.495,-3.72,-2.245
