episode,n_steps,duration_s,team_total_reward,team_reward_per_step,agent_0_total,agent_1_total
596,500,0.0,1.945,0.00389,0.095,1.85
597,500,0.0,2.585,0.00517,1.195,1.39
598,500,0.0,1.585,0.00317,0.325,1.26
599,500,0.0,2.075,0.00415,1.27,0.805
600,500,0.0,2.775,0.00555,1.41,1.365
601,500,0.0,1.96,0.00392,1.38,0.58
602,500,0.0,2.36,0.00472,1.53,0.83
603,500,0.0,2.9,0.0058,1.94,0.96
604,500,0.0,3.365,0.00673,1.765,1.6
605,500,0.0,2.915,0.00583,1.685,1.23
606,500,0.0,3.815,0.00763,2.06,1.755
607,500,0.0,3.16,0.00632,1.37,1.79
608,500,0.0,2.075,0.00415,0.595,1.48
609,500,0.0,3.23,0.00646,1.655,1.575
610,500,0.0,1.585,0.00317,1.29,0.295
611,500,0.0,2.21,0.00442,1.97,0.24
612,500,0.0,2.475,0.00495,1.43,1.045
613,500,0.0,3.0,0.006,1.52,1.48
614,500,0.0,1.24,0.00248,0.355,0.885
615,500,0.0,2.675,0.00535,1.65,1.025
616,500,0.0,1.83,0.00366,1.51,0.32
617,500,0.0,2.525,0.00505,1.65,0.875
618,500,0.0,2.28,0.00456,1.52,0.76
619,500,0.0,6.705,0.01341,1.66,5.045
620,500,0.0,3.295,0.00659,1.705,1.59
621,500,0.0,2.785,0.00557,1.595,1.19
622,500,0.0,0.5,0.001,-1.15,1.65
623,500,0.0,3.175,0.00635,1.73,1.445
624,500,0.0,3.455,0.00691,1.935,1.52
625,500,0.0,6.61,0.01322,0.855,5.755
626,500,0.0,0.445,0.00089,1.0,-0.555
627,500,0.0,1.46,0.00292,0.57,0.89
628,500,0.0,0.49,0.00098,0.58,-0.09
629,500,0.0,3.03,0.00606,1.305,1.725
630,500,0.0,2.22,0.00444,1.245,0.975
631,500,0.0,1.415,0.00283,1.49,-0.075
632,500,0.0,1.695,0.00339,1.07,0.625
633,500,0.0,1.84,0.00368,0.335,1.505
634,500,0.0,0.83,0.00166,-0.015,0.845
635,500,0.0,6.0,0.012,0.635,5.365
636,500,0.0,3.99,0.00798,2.165,1.825
637,500,0.0,1.56,0.00312,1.065,0.495
638,500,0.0,1.895,0.00379,1.67,0.225
639,500,0.0,-0.33,-0.00066,-0.73,0.4
640,500,0.0,7.265,0.01453,1.46,5.805
641,500,0.0,3.43,0.00686,2.025,1.405
642,500,0.0,1.65,0.0033,0.075,1.575
643,500,0.0,2.79,0.00558,1.665,1.125
644,500,0.0,-1.06,-0.00212,-1.92,0.86
645,500,0.0,1.505,0.00301,1.355,0.15
646,500,0.0,1.6,0.0032,0.85,0.75
647,500,0.0,2.915,0.00583,1.625,1.29
648,500,0.0,2.03,0.00406,1.455,0.575
649,500,0.0,1.545,0.00309,0.37,1.175
650,500,0.0,1.31,0.00262,1.205,0.105
651,500,0.0,2.415,0.00483,0.96,1.455
652,500,0.0,2.89,0.00578,1.47,1.42
653,500,0.0,2.37,0.00474,0.98,1.39
654,500,0.0,1.83,0.00366,1.205,0.625
655,500,0.0,2.255,0.00451,0.545,1.71
656,500,0.0,2.905,0.00581,1.395,1.51
657,500,0.0,2.025,0.00405,0.95,1.075
658,500,0.0,2.655,0.00531,0.88,1.775
659,500,0.0,1.66,0.00332,0.18,1.48
660,500,0.0,3.45,0.0069,1.64,1.81
661,500,0.0,1.515,0.00303,0.645,0.87
662,500,0.0,1.695,0.00339,0.04,1.655
663,500,0.0,2.715,0.00543,1.05,1.665
664,500,0.0,2.135,0.00427,1.015,1.12
665,500,0.0,1.62,0.00324,0.55,1.07
666,500,0.0,3.185,0.00637,2.01,1.175
667,500,0.0,3.19,0.00638,1.285,1.905
668,500,0.0,2.78,0.00556,1.61,1.17
669,500,0.0,2.11,0.00422,0.57,1.54
670,500,0.0,3.385,0.00677,1.775,1.61
671,500,0.0,2.555,0.00511,1.39,1.165
672,500,0.0,3.54,0.00708,2.1,1.44
673,500,0.0,3.44,0.00688,2.02,1.42
674,500,0.0,1.69,0.00338,1.06,0.63
675,500,0.0,2.62,0.00524,1.57,1.05
676,500,0.0,1.89,0.00378,1.33,0.56
677,500,0.0,2.04,0.00408,1.21,0.83
678,500,0.0,2.39,0.00478,1.635,0.755
679,500,0.0,4.3,0.0086,2.275,2.025
680,500,0.0,3.21,0.00642,1.57,1.64
681,500,0.0,0.6,0.0012,2.175,-1.575
682,500,0.0,3.375,0.00675,1.59,1.785
683,500,0.0,1.405,0.00281,0.775,0.63
684,500,0.0,2.785,0.00557,1.725,1.06
685,500,0.0,2.03,0.00406,1.75,0.28
686,500,0.0,3.225,0.00645,1.725,1.5
687,500,0.0,0.695,0.00139,0.645,0.05
688,500,0.0,2.715,0.00543,1.565,1.15
689,500,0.0,3.29,0.00658,1.625,1.665
690,500,0.0,4.425,0.00885,2.2,2.225
691,500,0.0,0.835,0.00167,0.65,0.185
692,500,0.0,1.8,0.0036,0.885,0.915
693,500,0.0,2.465,0.00493,1.34,1.125
694,500,0.0,1.555,0.00311,0.55,1.005
695,500,0.0,2.125,0.00425,0.5,1.625
696,500,0.0,7.415,0.01483,5.44,1.975
697,500,0.0,2.015,0.00403,1.26,0.755
698,500,0.0,2.235,0.00447,1.375,0.86
699,500,0.0,2.92,0.00584,1.245,1.675
700,500,0.0,3.055,0.00611,1.695,1.36
701,500,0.0,1.215,0.00243,0.925,0.29
702,500,0.0,5.96,0.01192,0.33,5.63
703,500,0.0,1.795,0.00359,1.595,0.2
704,500,0.0,3.1,0.0062,1.35,1.75
705,500,0.0,7.095,0.01419,5.21,1.885
